# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.14892 0.122426 6.45744
2000 -0.184571 -0.198669 9.22384
3000 0.028605 0.0352298 11.9894
4000 0.109607 0.121639 14.6463
5000 -0.155855 -0.160033 17.2241
6000 0.121483 0.131275 19.6619
7000 -0.068704 -0.0670549 22.0698
8000 0.0409666 0.0436971 24.3458
9000 -0.00940035 0.00828544 26.3921
10000 -0.0152738 -0.0330241 28.4781
11000 0.0422479 0.0365239 30.3973
12000 -0.0357799 -0.0407065 32.3164
13000 0.0372786 0.0509849 34.2283
14000 -0.0288781 -0.0227608 35.9696
15000 0.0221113 0.022186 37.7462
16000 -0.0122654 -0.0100134 39.3529
17000 -0.003416 0.0106103 40.8559
18000 0.0130352 0.0020672 42.3543
19000 0.0198075 -0.00788318 43.7307
20000 -0.00100574 0.00198863 45.2163
21000 0.00138303 0.00599763 46.4861
22000 0.000747518 0.00167611 47.7056
23000 -0.00938012 0.0174383 48.7448
24000 0.0169754 0.000825375 50.0622
25000 -0.00735587 -0.00316327 51.0414
26000 0.0131908 0.0137833 51.9743
27000 -0.00803506 -0.0154961 53.1696
28000 0.0170983 0.00871809 54.0592
29000 -0.0026157 0.00212277 54.9282
30000 -0.00666079 0.00299757 55.8991
31000 0.0145817 0.00680405 56.7229
32000 -0.00370901 -0.00546227 57.5609
33000 0.00215728 0.0173356 58.3649
34000 0.00137765 -0.00791439 59.3004
35000 0.0108374 0.00159763 60.039
36000 0.00482945 0.00765297 60.7708
37000 -0.0064163 0.00479801 61.61
38000 0.00246475 -0.000340714 62.5305
39000 0.00995805 -0.000253418 63.2129
40000 -0.00131859 0.00220249 63.7827
41000 -0.00135598 0.00544274 64.5095
42000 0.00498656 0.00488817 65.5682
43000 0.00888024 0.00153666 66.352
44000 0.00156317 -0.00250471 67.0126
45000 0.00068562 0.00456401 67.6793
46000 -2.67349e-05 0.00640706 68.5603
47000 0.00358728 -0.0107628 69.5177
48000 -0.000409334 0.0248745 70.2558
49000 0.000240194 -0.0158271 71.1646
50000 0.011908 0.0150847 72.2546
51000 3.18898e-05 -0.00471242 73.3119
52000 0.00420952 0.00413309 74.3397
53000 0.00453163 0.00672447 75.4559
54000 -0.00194925 0.00270126 76.9322
55000 0.00158901 0.00683444 78.3762
56000 0.0157374 -0.00357381 80.0218
57000 -0.0117481 0.00355228 81.9108
58000 0.00920071 -0.00386626 83.9921
59000 0.000415203 0.0059082 86.4229
60000 0.0065807 0.00611629 88.9734
61000 0.00137569 0.00289238 91.5116
62000 0.00583462 0.00611339 94.5047
63000 0.0017523 0.00199256 97.6842
64000 -0.00213332 0.000453014 100.966
65000 0.00865962 0.00657754 104.139
66000 0.00200911 0.00584613 107.472
67000 0.00664445 0.000487565 111.059
68000 -0.00148892 0.003333 114.931
69000 0.0041511 0.000823948 118.975
70000 0.00534751 0.0146854 123.175
71000 0.00708238 0.000344762 127.678
72000 0.00433774 -0.000313622 132.447
73000 -0.00661999 0.00559977 137.41
74000 0.00829369 -0.00396455 142.672
75000 -0.0385235 -0.0379 49.0485
76000 0.0051977 -0.00337678 -4.14434
77000 -0.0208608 -0.0354159 -2.24424
78000 -0.0281237 -0.0255723 -0.342631
79000 -0.0301667 -0.0201941 1.12796
80000 -0.0281282 -0.040465 0.389576
81000 -0.0381319 -0.0186414 -0.243237
82000 -0.0156948 -0.026756 -0.675204
83000 -0.0412919 -0.0262546 -0.572639
84000 -0.0366587 -0.0295497 0.0339608
85000 -0.0258919 -0.0298513 0.174653
86000 -0.0138375 -0.0216051 0.236141
87000 -0.0403075 -0.0209406 -0.454719
88000 -0.0144662 -0.0400164 -0.333099
89000 -0.0291168 -0.0180496 -0.329338
90000 -0.0287895 -0.0159644 -0.195166
91000 -0.0140979 -0.0224344 0.241112
92000 -0.0204966 -0.0232386 0.0134361
93000 -0.0236534 -0.0318891 -0.0756712
94000 -0.0172076 -0.0217522 -0.202291
95000 -0.0287724 -0.0236152 -0.350401
96000 -0.0371785 -0.0205172 -0.137854
97000 -0.0103261 -0.0107493 -0.0143415
98000 -0.0234695 -0.0323924 -0.273788
99000 -0.0227465 -0.0126401 -0.0690302
100000 -0.036199 -0.0253487 -0.223386
