# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 -0.0111106 -0.0197818 1.21613
2000 0.0302747 0.037339 4.21002
3000 -0.00980117 -0.0113622 7.05339
4000 0.0122466 0.0071754 9.82768
5000 -0.0029416 0.00725501 12.4951
6000 0.0125212 0.00663075 15.0748
7000 -0.00365573 -0.00112014 17.5545
8000 -0.00897279 -0.00615452 19.9409
9000 0.00640246 0.0029747 22.3131
10000 -0.00163045 0.0040051 24.5899
11000 -0.00352141 -0.0111612 26.8196
12000 0.00429955 -7.96039e-05 28.987
13000 -0.00483478 0.00660602 31.1084
14000 0.00477526 -0.00619054 33.1575
15000 0.00358686 0.0102376 35.1186
16000 0.00599195 0.00710512 37.0335
17000 0.0075835 0.00375858 38.899
18000 0.00258387 0.0101373 40.6926
19000 0.0107531 -0.0012359 42.4268
20000 -0.00164955 0.00679583 44.1182
21000 -0.00059168 -0.00303951 45.7244
22000 0.000721637 0.000635884 47.2889
23000 0.00104601 0.00344061 48.7602
24000 0.00717813 -0.000987939 50.2111
25000 0.000330818 0.0136173 51.5832
26000 0.00936335 -0.00558954 52.893
27000 -0.0063323 0.00386239 54.1669
28000 0.00439812 -0.00278094 55.3463
29000 0.00103028 0.00353433 56.5041
30000 -0.000749474 0.00294557 57.6126
31000 0.00334089 -0.00108861 58.6525
32000 0.000334482 0.00623489 59.6276
33000 0.0163315 0.00429316 60.5575
34000 -0.0122245 0.00616332 61.4662
35000 0.00506856 -0.0101068 62.3057
36000 0.00121471 0.00768783 63.1266
37000 0.00465196 -0.0024511 63.8616
38000 -0.000344058 0.00659098 64.5977
39000 0.00334958 -0.000153693 65.3121
40000 -0.000346266 0.0020738 65.9809
41000 0.00250985 0.00428539 66.6246
42000 0.00230793 0.000595436 67.2424
43000 -0.00507664 0.000970871 67.8543
44000 0.00952091 0.00235603 68.4559
45000 -0.00176512 0.00273632 69.0416
46000 0.000716778 -0.00842009 69.6228
47000 0.0103574 0.0136064 70.2064
48000 -0.0043811 -0.00585238 70.8017
49000 -0.000810279 0.00489512 71.3804
50000 0.00598908 -0.00067093 72.0035
51000 -0.00319924 0.00745159 72.6464
52000 0.00786206 -0.00618777 73.2622
53000 -0.000314904 0.0116792 73.9299
54000 0.00700553 -0.00505057 74.6523
55000 -0.00633077 -0.00443465 75.3589
56000 0.00407922 0.00929566 76.1848
57000 -0.0054277 -0.00796862 77.1204
58000 0.00917782 0.0198368 78.0487
59000 0.00239706 -0.0159141 79.2724
60000 -0.00334564 0.0160477 80.6034
61000 0.00607533 -0.00902171 82.0465
62000 -0.00267079 0.0109315 83.6116
63000 0.00580753 -0.00939777 85.5224
64000 -0.00246348 0.00472226 87.7666
65000 0.0023906 0.00219935 90.2109
66000 0.00284594 -0.00154613 92.9425
67000 -0.00103705 0.0082958 95.858
68000 0.00768719 -0.00380224 99.0015
69000 -0.00450693 0.00712693 102.399
70000 0.00617699 0.000413599 105.996
71000 0.00152509 0.00156668 109.783
72000 -0.00215506 0.00168996 113.72
73000 0.00608569 -0.000593099 117.897
74000 0.00301306 0.00621323 122.38
75000 0.00162189 0.00371327 127.201
76000 0.00146914 -0.00285826 132.335
77000 0.00375558 0.00494972 137.909
78000 -0.0188597 -0.0194411 138.103
79000 -0.0451828 -0.0395022 28.7327
80000 -0.000502351 -0.0498635 -3.76081
81000 0.028003 -0.00624597 -0.0527741
82000 0.0126674 0.0745036 0.27112
83000 -0.00276067 0.00034208 -0.0809704
84000 0.00604012 -0.0111576 -0.0578241
85000 -0.0291708 0.0185472 0.0863924
86000 0.0249048 -0.0358018 0.0908032
87000 -0.00251188 0.00411301 0.0561018
88000 -0.00458815 0.00703292 -0.153919
89000 0.0068758 -0.0132136 0.054867
90000 0.00851526 0.0286465 -0.0496706
91000 0.000772068 0.00914264 0.105425
92000 -0.000694979 -0.00543903 -0.031628
93000 -0.00476664 -0.000987002 -0.018036
94000 0.0119337 -0.00414698 0.0878928
95000 -0.014306 -0.0118181 0.0666356
96000 0.00162567 0.0121892 -0.084098
97000 0.00566223 0.00756336 -0.0646124
98000 0.00983772 0.0184428 -0.0954094
99000 0.0030332 -0.00855013 0.153895
100000 0.00055474 -0.00682351 0.0550178
