# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.00792558 0.0157425 1.92135
2000 0.0136961 -0.0048198 4.07647
3000 0.0115109 0.0067975 6.18326
4000 -0.0300581 -0.00496666 8.13678
5000 0.0212934 0.00511591 10.1153
6000 0.00184746 -0.0135063 11.9089
7000 -0.00739756 0.0182222 13.7339
8000 0.0139644 0.00119564 15.4672
9000 -0.000288497 -0.0148995 17.173
10000 -0.00202585 0.0189717 18.8558
11000 -0.00137382 0.00208207 20.4636
12000 0.0101299 -0.000730332 22.0549
13000 0.0108219 -0.0103169 23.5998
14000 -0.0161981 0.0265339 25.1084
15000 0.0184227 -0.000676586 26.5624
16000 0.000246683 -0.0126909 27.9546
17000 -0.00228978 0.015204 29.3371
18000 0.00156029 -0.0093105 30.668
19000 0.00300019 0.00546302 31.9587
20000 0.00373798 0.00365413 33.1803
21000 0.000897872 -0.0045491 34.3923
22000 0.00558068 0.0184521 35.5072
23000 -0.00888745 0.0105522 36.617
24000 0.0186226 -0.0161843 37.6977
25000 -0.0128186 0.0109393 38.6959
26000 0.00896949 0.00606919 39.6663
27000 0.00973263 -0.0111072 40.5908
28000 -0.0175771 0.0146177 41.4607
29000 0.0167614 -0.0020612 42.3348
30000 0.00992708 -0.0055994 43.1358
31000 -0.0161481 0.0170443 43.9181
32000 0.0138413 -0.0060838 44.6296
33000 0.00536993 -0.00507959 45.2999
34000 -0.00946294 0.0157526 45.9509
35000 0.0147448 -0.00353857 46.5906
36000 -0.00681236 0.00478816 47.154
37000 -0.000513783 0.00419472 47.7139
38000 0.00942751 -0.00619265 48.2535
39000 -0.000781332 0.000610483 48.7516
40000 -0.00254814 0.0184848 49.2184
41000 0.0123016 -0.0149067 49.6883
42000 -0.00223775 0.00816971 50.1542
43000 -0.0027663 0.00412553 50.5646
44000 0.00739136 -0.00469791 50.9641
45000 0.00980816 0.0062489 51.3681
46000 -0.0120413 0.0102909 51.7867
47000 0.0105825 -0.0119188 52.2034
48000 0.00252299 0.0087774 52.6144
49000 -0.00674209 0.00599335 53.0268
50000 0.00926358 -0.00331626 53.4813
51000 0.00216466 0.00143606 53.9109
52000 -0.0023378 0.0136244 54.3615
53000 0.0019805 -0.0117652 54.8104
54000 0.00662154 0.00648318 55.3304
55000 -0.00473695 0.00218975 55.8915
56000 0.0130815 -0.00360109 56.5253
57000 0.000741918 0.00454827 57.179
58000 -0.00896346 0.00426241 57.9142
59000 0.0124233 0.00289347 58.7742
60000 -0.000764602 -0.00192197 59.726
61000 -0.00645942 0.0106573 60.835
62000 0.0108127 -0.00438382 62.1207
63000 0.00183401 0.00161045 63.5702
64000 -0.00711953 0.00728795 65.2163
65000 0.0156733 0.000934793 67.0946
66000 0.000183919 -0.000524304 69.1317
67000 -0.00230057 0.00557322 71.364
68000 0.00589551 0.000940099 73.7445
69000 -0.00161655 0.00208227 76.2529
70000 0.00614602 -0.000761485 78.9057
71000 -0.000636672 0.00766975 81.6999
72000 0.00159136 -0.000338484 84.6442
73000 0.00265413 0.00388108 87.7506
74000 0.00158173 -0.000989135 91.0858
75000 0.00380439 0.00597646 94.6894
76000 -0.00760692 -0.00571023 97.5776
77000 -0.061886 -0.0708032 60.6722
78000 -0.00597806 -0.00050068 31.0656
79000 -0.0047705 -0.00810518 19.8484
80000 -0.00789599 -0.00958287 4.47668
81000 -0.00937226 0.0117447 -7.4185
82000 -0.0146971 0.00459888 -2.8206
83000 0.00863692 -0.0450079 -0.605761
84000 0.000542333 0.00151633 -0.838663
85000 0.00359292 -0.0125842 -0.469951
86000 -0.0394586 -0.017469 -0.404
87000 -0.0532116 -0.00579926 -0.316749
88000 -0.0444523 0.0176243 0.0268875
89000 -0.0130521 0.029627 -0.00873385
90000 -0.034523 -0.00740693 -0.248778
91000 -0.0337068 -0.0154039 -0.227739
92000 0.015627 0.0122925 0.0182237
93000 0.07516 -0.0402773 0.218437
94000 0.0530475 -0.0498451 -0.121971
95000 0.00624155 -0.0279076 -0.189775
96000 0.101628 -0.0201067 0.173011
97000 0.0441894 0.0220571 0.19167
98000 -0.054279 -0.019462 -0.361001
99000 -0.0194467 -0.0181771 -0.287344
100000 0.0398896 0.00225642 0.130815
