# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 -0.00615414 -0.00698699 1.77466
2000 0.000352809 0.00627451 3.91303
3000 -0.00228812 0.00103414 5.9742
4000 0.00133685 0.00397474 7.97174
5000 0.00594789 0.000522354 9.89299
6000 0.00763628 0.0041407 11.7523
7000 0.00508418 0.00282168 13.5572
8000 0.000104604 0.000220255 15.3106
9000 -0.00175552 0.00457048 17.025
10000 -0.0010405 0.00135294 18.6967
11000 0.00322821 0.00365453 20.3308
12000 0.00526999 0.00234221 21.9168
13000 0.00493693 -0.000303172 23.4645
14000 0.000563563 0.000791504 24.9716
15000 0.00145335 0.00266342 26.4322
16000 0.000217139 0.0021181 27.8475
17000 -0.00215569 0.00390308 29.2193
18000 0.00233042 0.00191853 30.5401
19000 0.00385561 -0.00116194 31.8214
20000 0.00263474 0.000790934 33.0575
21000 0.000866887 1.88268e-05 34.2503
22000 0.00331636 0.00365625 35.3968
23000 0.000886471 0.00280952 36.4964
24000 0.000535888 0.00213986 37.5507
25000 0.0012948 0.0014857 38.5634
26000 0.00297142 0.0031461 39.5341
27000 -0.00107294 -0.00193563 40.4612
28000 0.000142442 -0.00121556 41.3472
29000 0.00391923 0.00222088 42.1877
30000 0.00481492 0.00514368 42.9917
31000 -0.00175595 3.85666e-05 43.7571
32000 0.000941928 0.00192222 44.4802
33000 -0.00254509 -0.00203057 45.1732
34000 0.00540706 0.00442735 45.8268
35000 0.00325472 0.000596329 46.4399
36000 0.000375968 -0.00137296 47.0243
37000 0.00179918 0.00256064 47.5829
38000 0.000933662 0.00298756 48.1058
39000 -0.00172847 -0.000148925 48.6081
40000 0.00283407 0.0036523 49.0842
41000 0.000363144 0.00180903 49.548
42000 0.00237696 0.00199216 50.0014
43000 0.00127829 -0.00124555 50.4393
44000 0.00187017 0.000272482 50.8686
45000 0.00239038 0.00211638 51.2948
46000 -0.00235024 -0.00205598 51.7153
47000 0.00253988 0.00438981 52.1404
48000 0.00324616 0.00328132 52.5625
49000 -0.00543112 -0.00307866 52.9896
50000 0.00640508 0.00599485 53.4318
51000 -0.00220414 -0.00144934 53.883
52000 0.00386155 0.000860589 54.3544
53000 0.00239458 -0.000217264 54.8368
54000 -0.00039132 0.000959943 55.3497
55000 0.00208391 0.0012133 55.9033
56000 -0.000393 0.00255984 56.5023
57000 0.00304107 0.00323135 57.1601
58000 0.000145858 -0.000507337 57.878
59000 -0.00150971 -0.00120469 58.6916
60000 0.00481446 0.0044554 59.6188
61000 0.00198333 0.00108682 60.6857
62000 -0.00115746 -0.00190784 61.941
63000 0.00571242 0.00621326 63.3842
64000 0.000840738 0.00162087 65.0012
65000 -0.000554532 -0.00215771 66.8132
66000 -0.0012592 0.000406037 68.8537
67000 0.00382037 0.00457155 71.0891
68000 0.00123701 0.00243963 73.4914
69000 0.00253401 0.00325715 76.0268
70000 0.000912079 -0.000508417 78.7
71000 0.00182034 0.00133398 81.4928
72000 0.00101263 0.000622284 84.4096
73000 0.00231816 0.0013501 87.4937
74000 0.00283813 0.00259026 90.7807
75000 0.00117294 0.00231984 94.3032
76000 0.000971432 0.000849692 98.1007
77000 0.00260461 0.00285668 102.156
78000 -0.0105689 -0.0127252 104.063
79000 -0.0720445 -0.0715619 54.0614
80000 -0.00944866 -0.0101101 24.1819
81000 0.00537926 0.00455667 12.0501
82000 -0.00897622 -0.00992642 6.51229
83000 0.0327734 0.032909 -4.62703
84000 -0.0214461 -0.0197709 -1.48574
85000 -0.00599035 -0.00105978 -0.401383
86000 -0.0154402 0.00245916 -1.22929
87000 -0.0241574 -0.00867888 0.0194768
88000 -0.00439066 -0.00857267 -0.428849
89000 0.0192283 0.00454932 -0.13186
90000 0.000182214 0.00583038 0.10205
91000 0.0245828 -0.00956214 -0.53381
92000 0.00684328 0.0134792 0.216543
93000 0.0164073 0.0079253 -0.441317
94000 -0.00229633 -0.00337412 -0.105711
95000 0.00366552 0.00975317 -0.0756186
96000 0.0133589 0.00483004 -0.217051
97000 0.00962798 0.00732338 0.203544
98000 0.00237112 0.000849035 -0.13589
99000 -0.0067479 -0.00935209 0.286845
100000 -0.0202407 0.012003 0.0960439
