# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 -0.0862801 0.0714143 2.13641
2000 0.190989 -0.164544 4.88599
3000 -0.0761614 0.0940267 7.34198
4000 0.00623767 -0.0327874 9.76822
5000 0.0182515 0.0166288 12.1203
6000 -0.00552699 -0.00243902 14.3342
7000 0.00899842 0.00501748 16.5259
8000 0.00167981 0.0049001 18.6571
9000 0.0126385 -0.00637208 20.7368
10000 -0.0176075 0.0133574 22.761
11000 0.0255622 -0.012453 24.736
12000 -0.0066597 0.0185712 26.6491
13000 -0.00602698 -0.00742544 28.5171
14000 0.0020025 0.00120076 30.3428
15000 0.0175601 0.00348761 32.1182
16000 -0.00144932 0.00358629 33.8311
17000 -0.0106513 0.00671527 35.4973
18000 0.0192929 -0.00428495 37.1124
19000 -0.0080046 0.00786023 38.667
20000 0.00778172 0.00122522 40.168
21000 0.00201443 -0.00546428 41.6102
22000 -0.00280294 0.0124338 43.0013
23000 0.0150562 -0.00714402 44.3337
24000 -0.0130009 0.0144736 45.6141
25000 0.0193065 -0.0045929 46.846
26000 -0.00100681 0.00227777 48.0247
27000 -0.00498386 0.00711183 49.1533
28000 0.00439039 0.00119228 50.2251
29000 0.0110452 -0.000230132 51.2541
30000 -0.00576225 0.00151482 52.2261
31000 0.00250426 0.00105866 53.1504
32000 0.0075441 0.00884586 54.0356
33000 0.00343501 -0.000879472 54.8758
34000 -0.000589168 -0.00783334 55.6668
35000 1.12894e-05 0.0148538 56.4179
36000 0.00877626 -0.00862798 57.125
37000 0.000203845 0.00825385 57.7989
38000 0.00274471 0.00503634 58.4403
39000 0.0101085 -0.00510148 59.0469
40000 -0.00933793 0.00950122 59.6259
41000 0.0120664 -0.00611788 60.1865
42000 -0.00136102 0.00555299 60.731
43000 0.00400914 0.000338204 61.2478
44000 -0.00171592 0.00636298 61.7655
45000 0.002449 -0.00246641 62.2654
46000 0.0107699 0.00053202 62.7752
47000 -0.0115 0.00433513 63.2839
48000 0.0107012 0.0024879 63.7888
49000 0.008551 -5.10668e-05 64.2962
50000 -0.00840752 0.00765974 64.8111
51000 0.00715414 -0.00453763 65.3506
52000 0.00303154 0.0028345 65.907
53000 0.00274357 0.00164954 66.5068
54000 0.00410232 -0.00014626 67.1293
55000 -0.00047144 0.00357943 67.7866
56000 0.00390639 0.00383806 68.5179
57000 -0.00180931 -0.00248514 69.3324
58000 0.0037397 0.00208184 70.2211
59000 0.0104935 0.000975951 71.271
60000 -0.00399026 0.00662764 72.4439
61000 -0.0013936 0.00224449 73.7527
62000 0.00982867 0.00423622 75.3195
63000 -0.000356053 -0.00738723 77.0541
64000 0.00559836 0.00606107 79.0797
65000 -0.00237788 0.00194383 81.2947
66000 0.00485213 0.00392475 83.7716
67000 0.00343512 -0.00182214 86.4336
68000 0.000796003 0.000893674 89.2865
69000 0.00607178 0.0101501 92.3163
70000 -0.000149173 -0.00431502 95.5024
71000 0.00332298 0.00287847 98.8066
72000 0.00416608 0.00530105 102.303
73000 0.0015253 0.000131685 106.007
74000 0.00809351 0.00200679 109.992
75000 -0.00309379 0.00145273 114.275
76000 0.00532776 0.00330682 118.843
77000 -0.0386931 -0.0268604 100.835
78000 -0.0174367 -0.00919233 70.9165
79000 -0.00511365 -0.00453441 50.6168
80000 0.00502404 -0.00234126 40.1788
81000 -0.000518043 -0.000563219 34.1568
82000 -0.000630527 -0.000364904 29.1738
83000 -0.00116396 -0.000559106 24.24
84000 -0.00460952 -0.00189245 16.5205
85000 -0.00322319 -0.00446273 5.54434
86000 0.0217051 -0.0107685 -5.59149
87000 -0.0308452 0.00974223 -6.92038
88000 -0.0124549 0.00514771 -2.43815
89000 -0.0419604 -0.0167607 -1.66097
90000 0.0535693 0.00586998 -0.797376
91000 -0.0251453 -0.0116841 -1.04485
92000 0.00804509 -0.0159381 -0.761159
93000 -0.0110596 0.00661771 -0.767123
94000 -0.00954041 -0.0320355 -0.801408
95000 0.00195428 0.020201 -0.340265
96000 -0.00353225 -0.0147108 -0.626856
97000 -0.00586772 0.0019968 -0.427303
98000 -0.0368098 -0.0314232 -0.659363
99000 -0.0071464 -0.0168751 -0.554792
100000 -0.034557 -0.0150942 -0.512766
