# Time-averaged data for fix 3
# TimeStep v_xstress v_ystress v_zstress
1000 0.00721365 0.0065233 2.00056
2000 0.00340202 0.00290316 4.59399
3000 -0.00805066 -0.00947676 7.11823
4000 0.0124764 0.0123823 9.54728
5000 -0.00129818 -0.00107241 11.8721
6000 -0.00122586 -0.00422926 14.1409
7000 0.0115362 0.0170125 16.3414
8000 -0.0133484 -0.0160737 18.4622
9000 0.0166694 0.016751 20.5547
10000 -0.00801201 -0.00851589 22.5715
11000 0.00707158 0.00610177 24.5669
12000 0.00312454 0.0064125 26.4878
13000 -0.00490656 -0.00723641 28.3577
14000 0.0140598 0.0124397 30.1943
15000 -0.0117893 -0.00764186 31.9676
16000 0.0118314 0.00863595 33.6926
17000 -0.000777935 0.00234768 35.3525
18000 6.37646e-05 -0.0018363 36.9598
19000 0.00581806 0.00517644 38.5156
20000 -0.000797597 0.00188627 40.0107
21000 0.00199785 -0.00121079 41.4571
22000 0.00211077 0.00500836 42.847
23000 0.00524226 0.00214906 44.1796
24000 -0.00427851 -0.000639706 45.4641
25000 0.00733529 0.00430962 46.6944
26000 -0.00187543 0.000640313 47.8779
27000 0.00459945 0.00170602 48.9997
28000 -1.56462e-05 0.00160685 50.0857
29000 0.00451481 0.00246164 51.1074
30000 -0.000371883 0.00190614 52.083
31000 -0.000112889 -0.00128132 53.012
32000 0.00328724 0.00419683 53.8899
33000 0.000689152 -0.0011293 54.7179
34000 5.41439e-05 0.00263471 55.5211
35000 0.00332633 0.00331056 56.2611
36000 -0.000218422 0.00166993 56.9834
37000 -0.000150262 -0.00300752 57.6496
38000 0.0065268 0.00362522 58.2844
39000 0.00286359 0.00256881 58.8876
40000 -0.00498363 -0.00178983 59.4756
41000 0.00200282 0.00470166 60.037
42000 0.00322074 0.00385195 60.5915
43000 0.000252911 -0.00253261 61.1303
44000 0.00629959 0.00431651 61.6554
45000 0.00494403 0.00345937 62.1755
46000 -0.000233919 0.000158988 62.6876
47000 -0.00266346 -0.00197592 63.1963
48000 -0.00065892 0.00259139 63.7084
49000 0.00200738 0.00136703 64.2343
50000 0.00450275 0.00297184 64.7781
51000 0.00176966 0.00103435 65.3317
52000 0.00134934 0.00319046 65.8928
53000 -0.00256439 -0.00124339 66.4882
54000 -0.000704683 -0.00136863 67.1011
55000 0.0040048 0.00809177 67.7598
56000 0.00138939 0.00123379 68.472
57000 0.000554204 -0.00368779 69.2671
58000 -6.80278e-05 -0.000478799 70.1744
59000 0.00415702 0.00489568 71.1631
60000 0.0055705 0.00493318 72.273
61000 -0.00216255 -0.000322609 73.5809
62000 0.00176029 0.000781832 75.1174
63000 0.00382119 0.00349349 76.8276
64000 0.000399469 -0.00120766 78.8011
65000 0.00293335 0.00266906 81.0078
66000 -0.00124215 0.000137323 83.4972
67000 0.00580299 0.0030139 86.1892
68000 0.00101548 0.00348733 89.0955
69000 0.000737899 0.000726566 92.1825
70000 0.00166962 0.00167715 95.4197
71000 0.00269428 0.00247668 98.7977
72000 0.00273159 0.00144119 102.35
73000 0.00142241 0.00204025 106.081
74000 2.37099e-05 -2.96799e-05 110.061
75000 0.00443054 0.00559584 114.334
76000 0.00192686 0.00134429 118.935
77000 0.00154144 0.00228238 123.88
78000 -0.0181311 -0.0160308 126.27
79000 -0.0504087 -0.0601385 78.5778
80000 0.00153087 0.00634534 44.1133
81000 6.41834e-05 0.00310211 32.5043
82000 -0.00318136 -0.00208809 24.0914
83000 -0.00726252 -0.00707013 10.5583
84000 0.00288462 0.0026361 -7.52321
85000 -0.00952541 -0.00963467 -10.9869
86000 -0.00970318 -0.00266058 -0.193643
87000 -0.015602 0.00392966 -1.17461
88000 0.0199019 -0.000937223 -0.444919
89000 0.00772751 -0.00432458 -0.414429
90000 0.00326316 0.00539908 -0.0556403
91000 0.0163069 0.0195445 0.481088
92000 -0.00337845 -0.00531343 0.586375
93000 -0.00484234 -0.00268411 0.27651
94000 0.00143224 -0.0115193 0.113351
95000 -0.00874394 0.000576592 0.0881306
96000 -0.001474 0.0212477 -0.109712
97000 0.00273921 -0.0100223 -0.349872
98000 0.000981741 -0.00355718 0.316707
99000 0.00725304 0.00125311 0.974068
100000 -0.00552841 0.00630364 -0.104641
